날짜,전국,서울특별시,서울 용산구,서울 성동구,서울 마포구,서울 서초구,서울 강남구,서울 송파구,서울 강동구,서울 노원구,부산광역시,대구광역시,인천광역시,인천 연수구,세종특별자치시,경기도,경기 수원시,경기 성남시,경기 성남 분당구,경기 고양시,경기 과천시,경기 광명시,경기 하남시,경기 화성시,경기 김포시,제주특별자치도
2015.05,344.66087952593034,605.6228357056688,815.4490294801965,599.7794826471722,610.1852393747139,975.440309159142,1099.0019769833154,739.220697118878,625.5784009272395,439.6757233927517,277.50794557265925,298.8420742719135,278.05146537567543,315.63744420240647,229.16401889478388,353.8762981985679,347.31508072692725,574.3649111406404,621.0362655635679,338.3880038411021,947.3898525728304,510.6789486474631,409.3912338798647,268.44677359063706,262.8167866576602,271.21377099280755
2015.06,347.2785389620758,609.7520922855073,816.4040916332193,601.841638271857,612.4730462487738,984.4572541289342,1113.3829016200914,743.3519907944418,628.7573665914493,440.52285689716473,280.1834555344054,304.42527650207126,280.8136176400253,317.44204802297617,230.1095272939937,356.33495378619534,349.71574118200766,576.4591654943421,623.122558539199,340.70561272382906,958.4043400502692,513.3487582367421,411.1302506369194,268.7231136962986,266.123849329945,276.3697438035643
2015.07,349.6834987433714,613.0627334369968,821.2879551647646,606.0447023353593,615.9117022616811,989.7648767711278,1122.7495587536866,745.6199708844044,619.4592055742289,441.9560013719676,282.4860420822307,309.8803049159009,283.3442086051238,318.92820367211226,229.55675345253545,358.97863896536785,351.7056770366355,578.7135430560105,625.6255867116087,344.2583688730247,979.7148921463402,518.2580720742396,413.4648664939544,269.0467090981663,270.54732748786085,284.8180451061276
2015.08,351.9903633386997,617.3309507092724,821.7459168125347,609.1330473905027,618.1202853692738,1000.3709329372168,1136.0684748281435,748.6345299974112,623.454201053054,444.35398430833135,285.04302383498776,314.60365414748344,285.3347487768732,320.06700392952143,229.55675345253545,361.07054457723336,353.26562476748114,581.0278394389155,627.9420657368578,347.1219520905253,989.0374252911856,523.8870197422589,415.75874189000194,269.48853706177294,274.3156171127267,289.2228662387385
2015.09,354.877471805377,622.3124256172916,824.0332260933882,613.9114462603769,621.4416089302247,1012.4556698455632,1143.7956159928824,752.4618057094253,627.135440470416,448.20704735668136,287.76582187251216,320.4996552950243,288.5533270947101,322.3638407993096,229.5678900895256,363.85362093314393,355.2258660465719,583.0451019246866,629.9200380782349,352.0023380176863,983.4695870648452,531.6661220709383,420.7462134883109,269.9770379884524,278.06719090699045,296.1699556225646
2015.10,356.8687491793653,625.8847093112687,826.50760045792,617.853027879165,624.7696911538991,1015.5180758560654,1152.5787851057669,755.47688210055,629.4328844049311,450.5113124140692,290.6415886295176,322.840729219789,290.42820072906,322.6554082896119,229.5678900895256,365.83333662272,356.8144281799628,585.1569427713903,632.3503106317248,354.494636346122,999.2394952669744,533.838832386496,423.3316484146544,270.4122110814881,280.2303703838757,300.5746873718194
2015.11,359.4140282487291,630.5861772155617,829.0259806159546,623.9056200912953,627.9390981144134,1022.9817951821118,1161.363158930464,762.8883195851889,632.2233892361706,454.1517590337166,294.79897187019606,325.0100379314849,292.8868561401161,324.8269250093615,232.6875340896394,367.86847039094505,358.7066193949166,586.8310958223508,634.0101027518994,357.7624259813672,1010.6184013151578,537.439158004403,428.2378194932639,270.5940928005145,282.92652043344594,320.5761521455385
2015.12,360.4706408283072,632.9631751539653,830.1924946117128,627.8936251939136,631.030174293657,1028.6652687835676,1164.16433580715,765.4054302405915,633.3141418123219,455.4231867593826,296.735404121024,325.519760387662,293.6933087389562,324.90233744627307,232.71534107994265,368.69506250902975,358.89318958612404,587.9203757757584,634.8704672435829,358.30067406532834,1010.7906488003446,538.0336498110976,429.1840224319615,271.2516002205918,284.5801233296522,334.0016698703529
2016.01,358.846586132175,634.832212335384,828.140850559734,632.102184361001,647.092982867705,1030.81021114518,1154.90418608136,768.511550030016,633.983135575013,456.078430834006,303.827411545691,329.177943500118,303.240524608636,368.394738455534,283.394801862798,369.735167269084,374.40159676042,588.636281980694,642.149718313828,358.005792356709,1021.09757875988,540.604623222509,434.465183948569,301.593612529857,295.708722516429,333.077614652634
2016.02,359.28254779689,635.529175550784,829.043431042532,633.458119252463,650.81388754507,1031.16518155724,1155.39231116897,769.482428824663,627.392319579333,456.741389849873,304.778965023576,328.589869729297,303.60318531194,367.951485855696,284.349090062623,370.076846777617,374.414357949658,589.253738168791,642.604232031726,358.036049452723,1021.1690603888,540.841327651926,436.652945608834,301.331532832132,296.204828189223,346.37069001156
2016.03,359.804316776882,636.960598117967,831.975258432522,634.239344854995,652.846216840245,1032.9022572438,1158.99735671863,770.251291178183,627.88256831506,461.228134848746,305.862851405124,327.286512903119,304.122760431732,368.259093243587,285.357978057192,370.523471248147,374.614900651029,589.330689048975,642.602258527857,358.23114358487,1025.59528875097,541.382118014993,436.717501973895,301.120970277289,296.985317418985,349.129994603555
2016.04,360.474790982324,639.374793154785,832.641711459725,635.285138738356,655.307068251195,1035.59976863575,1173.7550599611,770.876277426449,630.584167563537,462.789487233745,307.139874767054,326.548128135594,304.54573985037,368.59937436992,286.588882553521,370.96090329507,374.703601278054,589.601012215068,642.58903242911,358.877490753782,1034.05738789109,541.704311622638,436.61429065698,302.825800796656,297.005410561228,354.057010112209
2016.05,361.59009604308,643.509353230962,836.136479374699,640.730218174886,660.419136704713,1046.94184174903,1187.4192205966,776.414610853322,633.030004055849,463.875084976512,308.75531433619,324.949034730997,305.037745849131,368.53353232621,288.028102816383,372.043047361703,374.793058446647,590.781465048758,643.728364132566,360.195770018998,1077.0130389575,544.578395073938,438.925142435013,302.81678783984,297.015364111929,355.825924814743
2016.06,362.854625570099,648.368457531756,843.876366388538,643.728289317853,664.748395971475,1061.1981295994,1202.57397043794,782.926177085592,639.129457019936,464.978564652145,309.950342221577,323.748018862594,306.200201556764,368.788326281047,288.144178980347,373.077106322461,375.121625670901,592.090628120268,645.223046919342,361.227899108477,1133.55263833308,548.543590713625,438.943273370914,304.052841999269,297.30334644687,365.880546848706
2016.07,364.628584354898,655.242429271636,853.133750565006,648.473040257603,675.442075406242,1074.57904343577,1220.18536654548,792.755065178512,644.486385952869,467.350295724368,312.55048514803,322.363204915423,307.623356521649,369.285788248404,288.66038934776,374.331706855689,376.148551372053,595.579101050774,649.125461023684,363.54086310076,1124.48744825234,555.14483259133,438.338779416638,304.820997785062,297.505162710304,377.104151709791
2016.08,366.675468828347,662.460555774882,861.2828949271,654.78367978415,685.104078130892,1088.65956949207,1234.92537996535,803.820402899082,648.58233400289,469.907175933175,316.072382711889,320.993590293026,309.239019009154,370.800988938937,289.014209222444,375.930327023452,376.914312393844,599.093318829624,653.136305196943,365.869453593637,1134.91634440963,565.573312321563,438.534635340711,305.640926558262,297.679119310024,389.593445139258
2016.09,368.704927531886,669.669236422782,868.585524300114,661.384128132333,689.948055572351,1105.83882977645,1254.23345781731,813.555640033386,654.95387818897,474.713270246097,319.2677134366,320.23052158431,310.535307278981,372.144671654181,290.626231796534,377.407115726827,377.463953380157,602.466574648305,656.50223984634,369.537082437838,1138.58226263603,568.724119768831,438.67504238072,307.119535711777,299.061629460866,395.03599847968
2016.10,372.155462679772,680.338772411058,879.363979255641,674.670372776815,698.542131527903,1125.63128642857,1276.78838711556,830.10920889604,662.887132635152,481.713615569504,327.286850860901,319.627084767627,314.020469541288,373.980007925424,291.397671090447,379.716880147969,379.540526284391,607.692187376117,663.360481219214,372.842891216849,1130.91948041509,577.018165072839,439.41500854668,310.094403892439,301.167804928971,401.152809332892
2016.11,375.238348710197,688.625482564205,887.996137815324,684.987548663795,710.039813643193,1139.9982494913,1290.40527408778,841.328045838534,671.88064565017,488.019091508103,335.057891835609,319.011772880056,316.259015208606,375.953322000385,294.143480554699,382.163168840401,381.265467426793,612.559778183269,669.245197916948,377.284829795896,1132.99939648842,583.22979597852,440.235559160085,313.824209289382,304.565664103389,416.227724707118
2016.12,376.25215148649,690.527960371553,891.301566000258,686.387296038681,712.849323414469,1139.43470196461,1294.51226975214,843.939777625963,670.778255376448,489.274787004946,338.817966594343,318.540569411724,317.018397771588,377.325034162218,295.150077825955,383.085376491554,381.581873000416,613.653637426223,670.098181362865,378.329335543096,1135.69686969406,585.491269247549,441.561666340397,314.974805451255,305.707503403745,424.539295286301
2017.01,376.886409823366,691.843243660448,891.72657098081,686.975654948855,713.49027448823,1136.65217879534,1301.30024058132,844.969908964533,671.800980087595,490.883553884553,342.208320387309,317.769570821553,316.994758973268,377.367386620572,296.020689019398,383.612358905714,382.235943419383,614.192318675642,670.61519917558,378.014194079088,1129.66569856541,586.590775200783,443.26772355061,315.212956433708,306.290447749923,427.216617473161
2017.02,377.382111067628,693.146456578895,892.528887331235,689.587398807771,714.512864020329,1138.17651446631,1303.44940046323,847.767169529904,672.41737018494,491.746117137628,343.740041322474,317.337336164197,317.375003212186,379.012299265144,296.014241678596,384.020841267574,382.902311583836,615.645736657718,672.095798921555,378.58247317451,1124.80590184202,586.713226980664,444.029154602622,315.689826368304,305.763056434639,430.730756938928
2017.03,378.12598811925,695.185094688637,893.74904460116,692.523270887927,715.39894225035,1143.33604765482,1307.08533083516,850.155627047668,674.793991578837,493.180123504922,345.499190271879,316.936086697416,317.766941565759,379.593187271387,297.77437075716,384.685212264569,383.375386979345,618.444387724589,674.11180502857,379.296087686204,1125.24213116277,587.529706978249,443.081224195171,315.841913859971,306.005967807106,431.213494457266
2017.04,378.885516556684,697.643935221039,897.258104780382,694.362047595333,718.108091357438,1147.21455630409,1312.00816934255,855.585747476032,677.554893110009,494.962547574935,347.195114036105,316.709408926072,318.596286028041,380.730787904692,298.216458285237,385.19345796924,384.030092261009,620.507086227046,676.594438758701,380.124603802772,1132.04014495051,587.199153251166,443.128589560303,315.81450494354,305.919972913628,431.696455292742
2017.05,380.304420695995,703.575126010145,907.535640394804,697.519364849833,722.485449983767,1158.75358507784,1330.12842226301,868.16114609297,691.738254047828,496.4530502788,348.76789692532,316.576237203819,319.348304624673,382.219469208029,298.906676087358,386.050628001152,384.164528495534,623.010016114139,679.51422868049,380.904399665519,1144.64435810039,591.690400020182,444.235250139203,315.646381675344,305.922199082267,432.396014729676
2017.06,383.191831348992,716.249087542785,925.23473744267,714.912792988201,731.098410230228,1187.20736699269,1364.57934022492,888.055715844237,713.832844845585,504.826689435832,351.004536936387,316.470480875949,319.996084454513,383.323788396489,302.967697901468,387.810533112452,384.774363390036,631.2130606555,689.828822092924,382.278072156283,1175.98794696274,597.733296363841,445.471802247025,315.725792526198,306.874879550057,431.743090516261
2017.07,385.550653434108,725.295111477961,938.997282606049,725.834988110681,738.425640355604,1204.02706905046,1380.46619185901,900.07633158652,715.982081699329,519.620251286459,352.523656561141,317.230484851855,321.544519788345,387.311232699119,309.198003866804,389.694633833034,385.409234935336,639.095982047934,699.378237240591,384.362038297966,1194.62743754546,601.114745063054,447.866713706488,315.904273239785,308.050332188319,432.646896276002
2017.08,388.902805978543,738.655397249328,962.465657606533,739.200849701924,752.088280563857,1239.37024357167,1418.7178449159,922.974564969023,694.611907444575,533.080242521478,354.20129413344,319.514765011359,323.35494955639,392.859043917121,318.713654618078,392.224547558221,386.736214816181,651.770625692459,715.155815277798,386.122051766628,1215.13037820694,603.690549925291,455.912746957674,316.469598692601,308.959083955942,434.140184600678
2017.09,390.056938802719,742.380616036092,969.381268699698,746.142381570756,759.050534655499,1243.65402583226,1423.25713606086,925.35452370635,702.889540947246,536.094655730502,354.527523974839,321.3624217084,324.352010469524,394.803816587162,320.287051737944,393.758431736376,387.574112967042,657.967420880144,722.687185479729,387.366119692749,1210.26810775739,607.590502887255,458.741866011019,317.18166097838,309.96545399019,437.48418540721
2017.10,391.616078404119,749.078180239594,976.760110073977,759.079772570452,765.746421011342,1257.01022029267,1438.92452300686,939.728079258342,707.612007468367,538.43104805604,354.698585493617,322.694992697928,324.842723221297,395.606824625124,321.614882163815,395.009165998902,387.766034151434,664.308312623438,730.389339074647,387.959552068839,1212.65095244279,610.725452696399,462.809921522584,317.367375533398,311.887622840838,437.011563934254
2017.11,393.476658657948,756.985020058269,983.475621387899,770.706056382497,774.016421972283,1274.82672430999,1458.46395802949,956.895289514672,716.644947838575,540.049019447935,354.731581242104,324.410201096563,325.548401758971,395.911998793354,322.07919938577,396.388704351204,388.47951456778,672.890527902215,740.598709622366,388.330213477471,1220.86289129873,615.484301269114,465.700843670186,317.372677141906,313.550332899093,438.059494053695
2017.12,395.767163652996,767.80154516784,992.626310623479,783.810427218147,782.85472994703,1299.49044802119,1498.07389619933,978.856742060022,723.420615300702,541.504556617595,354.646858881726,325.210342229492,325.894020454456,395.691078741515,322.116577378526,397.771700447654,389.198501956356,681.828585219001,752.069740019927,388.538900280012,1252.24207042698,619.197384714583,467.531218703085,317.372677141906,314.43414520989,438.418145941526
2018.01,399.528504765435,784.699487790932,1015.62350273788,814.521679708344,798.518701657142,1333.38892452822,1560.35293239522,1012.13297927982,739.765069263217,544.093067466062,354.284956745727,326.688744816203,326.106987030552,396.948598860424,324.388848291055,400.534174056402,389.694506338329,704.934828166355,781.672621902864,388.728961049576,1323.13477032057,624.07431392803,471.326412099935,317.34965454407,315.77855609994,437.803085920959
2018.02,402.819547179591,799.796267059927,1035.37831445362,838.68494634662,811.162598876896,1371.57151760626,1608.45950295685,1049.53254213267,749.353401316187,547.052850429324,354.273158372812,327.775699524847,326.198723811359,397.105795868836,324.99405783727,402.662446112789,391.775180567441,721.370953702876,802.663641999058,388.861717388331,1356.72499087775,627.191106881412,471.939918060023,317.960731660468,316.244269452502,437.761567888111
2018.03,407.8518999418,823.345985098157,1072.23229450344,874.435732548592,826.953656055292,1427.80374899995,1674.03037827105,1098.57455016173,785.944318256284,553.55503532816,354.068465806302,329.706651247403,326.500071805533,397.774348867028,327.439628480354,405.70501989164,393.886633050629,741.984367364793,829.009021618921,389.357447765601,1382.19335206839,633.0554133602,479.770592606144,319.524359686944,317.140945500516,437.662370839339
2018.04,410.893298422573,838.050382989052,1100.64372788584,894.483915300871,866.516640276799,1446.3647159203,1710.11747680404,1119.88329946113,799.254181872927,558.659957294168,353.475227042655,331.762756280844,326.62888183411,398.562309288495,327.940759236817,408.228552236063,396.109973933585,756.16396512989,846.123216019404,390.012808943315,1396.16441441431,640.73619442346,481.22515475757,319.623965113627,317.624068430738,436.235563013218
2018.05,412.180586117722,843.724162291695,1116.75281847873,898.939113863105,880.510949918869,1452.59007051264,1704.46165003689,1125.09434862864,802.461933636636,560.632001862376,353.182397775653,333.35682409754,326.772747182709,399.089188553735,329.516727651666,409.352812390697,396.914391105849,763.503020149709,855.282440041676,390.74715800008,1398.77595152906,642.89207890292,484.20946440506,319.356151928016,317.520635268792,436.676533220058
2018.06,413.361472490155,849.369249877093,1130.59219669987,905.270541460713,890.031528279786,1455.5139993603,1710.22842097455,1130.9835590522,808.657131230311,562.451417794652,352.566916962418,334.172548489764,326.737361078862,399.089188553735,330.539234110395,410.393933523771,398.580140693508,768.764675596036,861.225104666901,391.084560020738,1400.36162913349,647.651401446358,486.360269516269,320.979657752996,317.791079615153,436.638433804666
2018.07,414.766915212273,857.095822592114,1146.02183979212,909.420983988355,913.505137013601,1465.46192882163,1717.60174514214,1131.23064908861,815.226651051705,564.972426774121,351.415475293101,335.01654851783,326.624847964211,399.628580666132,331.346789997323,411.446998820218,399.560737849763,772.835634924748,866.090506118585,391.105759930241,1400.31131828299,657.919252967732,488.662441712914,322.356962245603,318.207824484756,435.570669133189
2018.08,417.653450507344,870.733251083185,1170.95538573687,921.416581753173,945.160286198249,1479.80832508031,1744.30552594558,1146.31743912454,822.485882452815,571.583559260401,350.075564843461,335.610726950382,326.728741179562,400.507652037214,331.833851813719,413.729421910887,400.173184781786,780.076674114034,874.280689282379,391.280425923963,1432.56061289628,691.490311253633,494.920191095553,322.988786931403,318.342656260322,435.020936170343
2018.09,427.941763976408,914.181997119726,1231.97920836611,971.062866835617,984.850199281477,1567.64017518843,1811.53771090585,1192.21167002534,855.574263757711,608.543138773592,349.438134194369,337.514707842325,327.239102904029,400.495249358478,332.801944413585,422.976303956439,404.346827643609,829.754593379942,935.08082561219,393.710947431169,1505.38324722636,758.588193762835,506.483142760503,327.598351740796,318.969779602593,434.992803632992
2018.10,433.674628704122,937.500505784155,1245.98497886949,986.735718115191,1002.41916720272,1601.94239505969,1825.44928453627,1216.44844032515,877.094391217207,633.347579927493,348.163859115645,339.08614565714,327.838423988952,402.224747166098,332.95423399394,428.826450945899,406.479576749663,850.893230442486,960.263979811317,397.81603304524,1513.60657638385,776.065679795061,515.208623455213,330.759865541563,319.80082608247,435.469666524131
2018.11,436.006020189339,948.410116037964,1259.1230261363,992.303276624788,1010.37704003445,1615.16599067871,1833.20301441973,1221.24996047727,892.750890419517,641.995391014402,346.852241357747,340.113484540435,328.183466458708,402.540189652573,332.633206866604,430.846623033714,408.367398149877,856.237612928217,966.552826713168,400.092497751782,1514.96671973236,778.445732234052,523.084791097037,331.045819054313,321.424220036493,438.119143164711
2018.12,436.70811896747,951.381174837545,1261.06941004367,1003.59424857795,1013.01077040957,1614.60262257767,1831.86812615409,1219.29243092315,896.484784086227,645.266016063351,346.465426111349,340.89323301368,328.183362444574,402.27895555712,333.284969177022,431.114717521657,409.087269761403,856.154291243688,965.607048340943,400.779765911448,1513.69392612586,773.453577188147,526.346504985489,332.457605928794,320.787141578497,437.998551152224
2019.01,429.444917268095,939.199226681709,1261.05525250656,1009.76023877454,1011.79475552279,1569.61311971329,1801.03043519023,1189.5490490039,891.646239843474,634.488786288675,344.837095241288,339.021569179888,331.017052935237,409.429180459405,336.65617209526,425.620407763874,408.424310183691,827.555585322134,947.426939898558,399.60660131273,1355.54695099717,764.174929565969,527.305820235424,347.943760253734,320.607043780748,435.318260027499
2019.02,429.150396625546,938.451483335725,1262.2142579667,1010.63567176669,1011.07378442119,1568.34790191353,1790.92084569414,1184.66573833516,889.608725245559,634.831308540915,343.581431027278,339.663245651009,331.32367856867,409.745029610354,336.262201933919,425.588771972397,408.712863702648,827.73638626407,947.455623566891,399.592229027049,1352.11639622902,763.720327461619,529.979049925307,347.672043858895,320.824781319711,435.244934409362
2019.03,428.372766010458,936.421265356217,1264.02997189588,1014.01622373078,1010.20418573676,1562.17127606296,1773.59336374183,1180.7204164388,883.396281999759,634.502307074355,343.00853237974,340.215606389262,331.309709524815,409.257294333804,337.085546240347,425.054732420805,408.903287206071,826.402891432909,945.31538349338,399.662431819238,1351.55142447761,760.41465025735,531.207487021761,347.328908143899,321.088274229518,434.788201025701
2019.04,427.569346332574,935.417284933674,1267.19199257541,1013.55348392779,1011.05072505652,1555.1708912389,1759.76122432808,1176.77215980489,881.266230454806,637.016185920026,341.434470242406,340.176742139481,331.194142522686,408.014607866873,337.563569720063,424.203802066445,408.96445712673,824.77149515927,942.794043312085,398.248913851465,1331.43601125988,756.755810015263,531.887248130675,346.239323684366,321.033997176413,434.640794179148
2019.05,427.161229158116,935.557639643099,1268.69465788661,1014.61594740446,1010.06914374958,1553.85804834738,1758.24025469651,1179.33607058456,876.474993338547,637.20000622234,340.700715163715,340.186419465152,330.468441253953,405.942057958305,337.452250425022,423.607273014373,409.388439849433,823.010472297756,940.328304100051,397.951565795928,1327.13129844954,755.361301115965,530.504790906999,346.089306129059,320.741416764619,433.238516475568
2019.06,426.813747001032,937.25281836014,1270.71676439956,1014.30998930942,1010.71241953362,1556.45817530765,1770.42270789616,1181.44033538882,873.89681882721,638.234259565891,338.865653520793,340.725057806477,329.782301042368,402.475017189521,337.350406676376,422.976667722696,409.606014656472,822.885440125618,939.280098081675,397.38358959291,1338.10078042528,757.256336616502,530.137962916176,345.989286448829,318.577167727238,433.457963912207
2019.07,428.449008941911,949.06047803364,1277.1893295654,1027.00373285913,1022.77968420155,1577.11385704897,1814.53814415093,1209.58350765315,875.775606268334,647.014997168169,337.63298733499,340.881059573462,329.640195762054,400.85779624693,337.480179754102,422.878798246888,409.750192796018,826.047877640197,941.928043664351,394.72536474734,1351.93597975855,761.108769445162,529.920626688832,345.25358773327,318.731622089889,433.357628257146
2019.08,430.123781174016,958.969979920591,1283.72576740775,1034.33470386064,1035.15215504595,1602.92463439336,1853.08327946513,1220.30972013712,881.796627457221,654.096800375652,336.229766650941,341.151545120336,329.690710670414,400.621920326865,337.50600166224,423.58526826248,409.84025830131,832.477867610743,948.431569159734,394.616246608596,1368.36739530382,766.267965920163,529.996328891122,344.718085230027,320.011568715059,433.742111680279
2019.09,432.067800781171,969.005791557986,1288.64719855477,1048.10544795526,1045.15310445161,1626.09686871889,1886.25340946485,1234.15113475523,891.220174025649,658.930334688791,335.584794723616,341.960774407624,330.195375742193,401.719662314918,336.763655088061,424.172329358694,411.048215849056,836.888700775913,952.876013766849,393.867459393882,1380.48475015309,769.302153749362,530.335915831358,343.344291205921,319.989365711615,431.819008009782
2019.10,434.631735006544,982.192148534156,1300.82845551771,1069.57398825525,1058.83680621963,1646.45735839825,1916.39211819604,1262.92881852258,905.730912711481,664.033770893418,335.005752939762,342.507331631023,330.491368541147,402.375349855441,337.719243741084,424.999303705996,413.093749091783,843.132522530341,958.606175479529,392.940984949571,1398.57123556976,772.549501030709,530.679126541447,341.711592348388,320.045288258176,429.399539707552
2019.11,437.089090483826,993.012809941953,1311.85277428392,1081.92129564987,1072.24810515881,1669.46104872374,1900.06209656054,1295.98147618886,923.677727429706,669.798517937951,335.170861571497,343.688032449127,331.136093101984,402.531881940274,337.851064284369,426.410990481297,417.124842547814,849.895650864319,965.494805663707,392.535485103855,1423.08479986999,778.669088814778,533.900696184025,340.332952205673,319.953961445796,428.498875587548
2019.12,443.425114164075,1015.6582801823,1338.77952991512,1110.06707793828,1096.39051051841,1702.49749151835,1950.17522805185,1339.72538285089,957.251886942611,678.569410860557,341.064865727772,344.907620444188,332.086388751383,404.129567350326,339.348556157483,431.428224137081,426.529323425605,869.65594353566,988.396807117717,394.817127957905,1509.31914543358,788.991172699555,538.657175450509,342.4775560574,320.316348401968,427.707917338339
2020.01,448.065536864043,1029.99441100326,1355.0662078103,1132.38930375643,1117.41426743009,1717.75545020323,1978.66386609872,1353.25122667019,970.047618278659,689.296389721261,343.011773641207,346.133540234153,333.122466660348,405.766980167326,351.381826610194,436.51996779157,438.284408130314,883.170463649976,1003.31641466954,396.402090103631,1590.71493450089,796.855238187356,544.302204070305,347.790376183613,320.724851904711,426.978399086633
2020.02,453.26441958645,1043.15820191105,1369.79749876984,1152.70983690012,1124.20847825474,1735.23924567493,2002.01258286253,1355.22683570989,994.350537124231,700.931100329238,344.131431151132,347.550573248102,335.690244150585,409.296184274257,372.196045250328,444.3487528527,461.12771197792,897.237649650151,1018.53706243921,398.163211549519,1614.118094236,804.856867086995,570.3764090477,361.728811501426,321.169921383597,427.75168892046
